aou98,State,NUMCOLEC,lon,lat
Melanerpes aurifrons,VERACRUZ,CHIS 575,-96.50777778,19.73861111
Melanerpes aurifrons,YUCATAN,YUC13 068,-88.07627,21.56292
Melanerpes aurifrons,YUCATAN,YUC 150,-89.81611111,21.18666667
Melanerpes aurifrons,YUCATAN,YUC13 024,-87.66008,21.4646
Melanerpes aurifrons,YUCATAN,Y408 253,-88.02983333,21.5095
Melanerpes aurifrons,YUCATAN,YUC13 264,-90.02755556,20.88113888
Melanerpes aurifrons,YUCATAN,YUC13 150,-89.39718,20.74431
Melanerpes aurifrons,SAN LUIS POTOSI,HGO-SLP 416,-99.425,22.12166667
Melanerpes aurifrons,SAN LUIS POTOSI,HGO-SLP 060,-99.46305556,21.47166667
Melanerpes aurifrons,SAN LUIS POTOSI,HGO-SLP 068,-99.46305556,21.47166667
Melanerpes aurifrons,QUERETARO,QRO 327,-99.06583333,21.27333333
Melanerpes aurifrons,YUCATAN,GES 196,-88.56666667,21.46666667
Melanerpes aurifrons,QUERETARO,QRO 081,-99.10944444,21.16388889
Melanerpes aurifrons,TABASCO,MZFC04 031,-93.88333333,17.87083333
Melanerpes aurifrons,CAMPECHE,Y408 001,-90.5773,19.72788333
Melanerpes aurifrons,CAMPECHE,Y408 034,-90.5773,19.72788333
Melanerpes aurifrons,TAMAULIPAS,CONACYT 1171,-98.169278,23.808093
Melanerpes aurifrons,VERACRUZ,SLA 005,-95.67345,18.612115
Melanerpes aurifrons,VERACRUZ,SLA 006,-95.67345,18.612115
Melanerpes aurifrons,CAMPECHE,CONACYT99 036,-90.4,19.93333333
Melanerpes aurifrons,OAXACA,CHIMA 506,-94.68944444,17.00666667
Melanerpes aurifrons,TABASCO,MZFC04 016,-93.88333333,17.87083333
Melanerpes aurifrons,TABASCO,MZFC04 030,-93.88333333,17.87083333
Melanerpes aurifrons,TAMAULIPAS,AMT 184,-97.92466,22.3843
Melanerpes aurifrons,CHIAPAS,SOSI 130,-92.23057,14.67249
Melanerpes aurifrons,CHIAPAS,AMT 267,-93.19508056,15.70417778
Melanerpes aurifrons,CHIAPAS,AMT 262,-93.01686111,15.56094444
Melanerpes aurifrons,CHIAPAS,CHIS 245,-92.33722222,14.92305556
Melanerpes aurifrons,OAXACA,NIZA 044,-95.115,16.7452777
Melanerpes aurifrons,OAXACA,NIZA 129,-95.02317,16.677953
Melanerpes aurifrons,CHIAPAS,CHIS 125,-93.72381,15.995455
Melanerpes aurifrons,OAXACA,NIZA 147,-95.02317,16.677953
Melanerpes aurifrons,CHIAPAS,CHIS 140,-93.72381,15.995455
Melanerpes aurifrons,OAXACA,CONACYT 1492,-94.990109,16.632563
Melanerpes aurifrons,OAXACA,CONACYT 1470,-95.0116222,16.6706194
Melanerpes aurifrons,OAXACA,CONACYT 1303,-95.16277777,16.6938888
Melanerpes aurifrons,OAXACA,MT 348,-96.31666667,17.75666667
Melanerpes aurifrons,CAMPECHE,DEUT 19,-90.4,19.93333333
Melanerpes aurifrons,OAXACA,CONACYT04 071,-95.82963822,16.44958
Melanerpes aurifrons,COAHUILA,COA 66,-101.10721,25.895026
Melanerpes aurifrons,YUCATAN,YUC13 127,-89.39718,20.74431
Melanerpes aurifrons,QUERETARO,TQ 05,-99.58833333,20.74
Melanerpes aurifrons,SAN LUIS POTOSI,HGO-SLP 433,-99.41833333,22.1225
Melanerpes aurifrons,TAMAULIPAS,CONACYT 1133,-98.4,23.66027778
Melanerpes aurifrons,TAMAULIPAS,CONACYT 1251,-99.35,24.61666667
Melanerpes aurifrons,VERACRUZ,AMT 200,-97.03018,20.475333
Melanerpes aurifrons,YUCATAN,Y408 255,-88.02983333,21.5095
Melanerpes aurifrons,VERACRUZ,INECOL 102,-96.94351111,19.51393056
Melanerpes aurifrons,TAMAULIPAS,AMT 191,-97.9006,22.516433
Melanerpes aurifrons,VERACRUZ,AMT 209,-97.03018,20.475333
